Country,Crop,Acres
Afghanistan,Oranges,4510
Afghanistan,Apples,74534
Afghanistan,Pears,9884
Afghanistan,Peaches,24859
Afghanistan,Plums/Prunes,15778
Afghanistan,Apricots,66054
Afghanistan,Grapes,228819
Afghanistan,Olives,5404
Afghanistan,Figs,24184
Afghanistan,Almonds,90099
Afghanistan,Walnuts,20512
Afghanistan,Pistachios,5340
Albania,Oranges,593
Albania,Tangerines,2634
Albania,Lemons/Limes,210
Albania,Apples,10611
Albania,Pears,1962
Albania,Peaches,3225
Albania,Plums/Prunes,6580
Albania,Apricots,899
Albania,Grapes,26322
Albania,Olives,122258
Albania,Figs,3746
Albania,Dates,1211
Algeria,Oranges,116718
Algeria,Tangerines,35168
Algeria,Lemons/Limes,9909
Algeria,Grapefruit,171
Algeria,Apples,81169
Algeria,Pears,48954
Algeria,Peaches,41234
Algeria,Plums/Prunes,29279
Algeria,Apricots,69681
Algeria,Grapes,154680
Algeria,Olives,1163269
Algeria,Figs,96069
Algeria,Bananas,25
Algeria,Almonds,90406
Algeria,Dates,433326
Angola,Citrus (Total),98358
Angola,Avocados,8780
Angola,Mangoes,57655
Angola,Bananas,425273
Angola,Cashews,6689
Angola,Coffee,38133
Antigua and Barbuda,Lemons/Limes,210
Antigua and Barbuda,Mangoes,761
Antigua and Barbuda,Bananas,12
Argentina,Oranges,115146
Argentina,Tangerines,73504
Argentina,Lemons/Limes,151962
Argentina,Grapefruit,8827
Argentina,Apples,38081
Argentina,Pears,49293
Argentina,Peaches,21557
Argentina,Plums/Prunes,44840
Argentina,Apricots,5933
Argentina,Grapes,511623
Argentina,Avocados,1421
Argentina,Olives,316579
Argentina,Figs,667
Argentina,Mangoes,692
Argentina,Bananas,20848
Argentina,Almonds,949
Argentina,Walnuts,36018
Armenia,Apples,25291
Armenia,Pears,6188
Armenia,Peaches,12076
Armenia,Plums/Prunes,6840
Armenia,Apricots,28385
Armenia,Grapes,37352
Armenia,Figs,645
Armenia,Walnuts,4211
Armenia,Hazelnuts,435
Australia,Oranges,63694
Australia,Tangerines,18896
Australia,Lemons/Limes,7018
Australia,Grapefruit,1920
Australia,Apples,47879
Australia,Pears,17611
Australia,Peaches,28590
Australia,Plums/Prunes,11070
Australia,Apricots,7682
Australia,Grapes,407162
Australia,Avocados,54393
Australia,Olives,77794
Australia,Figs,171
Australia,Mangoes,41570
Australia,Bananas,33241
Australia,Almonds,139118
Australia,Walnuts,85614
Australia,Pistachios,8760
Australia,Hazelnuts,3212
Austria,Apples,15568
Austria,Pears,1408
Austria,Peaches,445
Austria,Plums/Prunes,519
Austria,Apricots,2125
Austria,Grapes,105860
Austria,Walnuts,469
Azerbaijan,Oranges,870
Azerbaijan,Tangerines,5187
Azerbaijan,Lemons/Limes,1260
Azerbaijan,Apples,71925
Azerbaijan,Pears,14157
Azerbaijan,Peaches,15397
Azerbaijan,Plums/Prunes,11797
Azerbaijan,Apricots,9219
Azerbaijan,Grapes,36604
Azerbaijan,Olives,14861
Azerbaijan,Figs,4754
Azerbaijan,Almonds,4169
Azerbaijan,Walnuts,10070
Azerbaijan,Pistachios,25
Azerbaijan,Hazelnuts,127101
Bahamas,Oranges,400
Bahamas,Tangerines,109
Bahamas,Lemons/Limes,465
Bahamas,Grapefruit,1347
Bahamas,Avocados,277
Bahamas,Mangoes,371
Bahamas,Bananas,1018
Bahamas,Coconuts,895
Bahrain,Dates,4846
Bangladesh,Oranges,2187
Bangladesh,Lemons/Limes,146076
Bangladesh,Grapefruit,13581
Bangladesh,Mangoes,343802
Bangladesh,Bananas,122586
Bangladesh,Coconuts,74030
Barbados,Avocados,257
Barbados,Bananas,111
Barbados,Coconuts,672
Belarus,Apples,87683
Belarus,Pears,10628
Belarus,Plums/Prunes,17762
Belarus,Grapes,18110
Belarus,Walnuts,13289
Belarus,Hazelnuts,4272
Belgium,Apples,12924
Belgium,Pears,26119
Belgium,Plums/Prunes,124
Belgium,Grapes,1680
Belgium,Walnuts,395
Belgium,Hazelnuts,148
Belize,Oranges,16850
Belize,Grapefruit,1152
Belize,Mangoes,5
Belize,Bananas,7804
Belize,Coconuts,3279
Belize,Coffee,183
Benin,Oranges,16030
Benin,Mangoes,8552
Benin,Bananas,10756
Benin,Coconuts,53103
Benin,Cashews,1271590
Benin,Dates,1446
Benin,Coffee,702
Bhutan,Oranges,6373
Bhutan,Lemons/Limes,77
Bhutan,Apples,1087
Bhutan,Pears,198
Bhutan,Peaches,215
Bhutan,Plums/Prunes,89
Bhutan,Apricots,17
Bhutan,Avocados,252
Bhutan,Mangoes,311
Bhutan,Bananas,101
Bhutan,Walnuts,79
Bhutan,Hazelnuts,119
Bolivia (Plurinational State of),Oranges,56822
Bolivia (Plurinational State of),Tangerines,66298
Bolivia (Plurinational State of),Lemons/Limes,10717
Bolivia (Plurinational State of),Grapefruit,1085
Bolivia (Plurinational State of),Apples,1811
Bolivia (Plurinational State of),Pears,914
Bolivia (Plurinational State of),Peaches,21251
Bolivia (Plurinational State of),Plums/Prunes,1035
Bolivia (Plurinational State of),Grapes,9953
Bolivia (Plurinational State of),Avocados,5691
Bolivia (Plurinational State of),Figs,321
Bolivia (Plurinational State of),Mangoes,5318
Bolivia (Plurinational State of),Bananas,49646
Bolivia (Plurinational State of),Coffee,64134
Bosnia and Herzegovina,Oranges,670
Bosnia and Herzegovina,Tangerines,84
Bosnia and Herzegovina,Lemons/Limes,2
Bosnia and Herzegovina,Apples,36250
Bosnia and Herzegovina,Pears,15073
Bosnia and Herzegovina,Peaches,4989
Bosnia and Herzegovina,Plums/Prunes,92141
Bosnia and Herzegovina,Apricots,1040
Bosnia and Herzegovina,Grapes,7786
Bosnia and Herzegovina,Avocados,754
Bosnia and Herzegovina,Olives,766
Bosnia and Herzegovina,Figs,1127
Bosnia and Herzegovina,Almonds,22
Bosnia and Herzegovina,Walnuts,4240
Botswana,Oranges,724
Brazil,Oranges,1404288
Brazil,Tangerines,139409
Brazil,Lemons/Limes,154443
Brazil,Grapefruit,11157
Brazil,Apples,82313
Brazil,Pears,2600
Brazil,Peaches,38585
Brazil,Grapes,184825
Brazil,Avocados,47723
Brazil,Olives,7668
Brazil,Figs,5263
Brazil,Mangoes,248254
Brazil,Bananas,1132949
Brazil,Coconuts,467977
Brazil,Walnuts,11451
Brazil,Cashews,1049786
Brazil,Coffee,4614419
Brunei Darussalam,Oranges,141
Brunei Darussalam,Lemons/Limes,40
Brunei Darussalam,Bananas,1500
Brunei Darussalam,Coconuts,299
Bulgaria,Apples,9192
Bulgaria,Pears,1433
Bulgaria,Peaches,6276
Bulgaria,Plums/Prunes,23228
Bulgaria,Apricots,7537
Bulgaria,Grapes,70351
Bulgaria,Figs,74
Bulgaria,Almonds,3731
Bulgaria,Walnuts,20584
Bulgaria,Hazelnuts,3781
Burkina Faso,Oranges,336
Burkina Faso,Tangerines,109
Burkina Faso,Lemons/Limes,114
Burkina Faso,Grapefruit,42
Burkina Faso,Mangoes,3919
Burkina Faso,Bananas,4490
Burkina Faso,Almonds,8528
Burkina Faso,Walnuts,224908
Burkina Faso,Cashews,314152
Burundi,Bananas,363862
Burundi,Coffee,27940
Cabo Verde,Mangoes,153
Cabo Verde,Bananas,633
Cabo Verde,Coconuts,5335
Cabo Verde,Coffee,512
Cambodia,Oranges,28415
Cambodia,Lemons/Limes,744
Cambodia,Grapefruit,806
Cambodia,Mangoes,12412
Cambodia,Bananas,229546
Cambodia,Coconuts,44474
Cambodia,Coffee,1127
Cameroon,Grapefruit,30
Cameroon,Peaches,400
Cameroon,Plums/Prunes,319
Cameroon,Apricots,509
Cameroon,Avocados,41877
Cameroon,Figs,84
Cameroon,Mangoes,373
Cameroon,Bananas,155441
Cameroon,Coconuts,3954
Cameroon,Hazelnuts,363
Cameroon,Dates,405
Cameroon,Coffee,152446
Canada,Apples,37995
Canada,Pears,1794
Canada,Peaches,6150
Canada,Plums/Prunes,1189
Canada,Apricots,222
Canada,Grapes,28966
